From,To
Q51649,bmu:Bmul_5628
Q51649,bmu:Bmul_6206
A0A0H3KQG8,bmj:BMULJ_05753
A0A0H3KR84,bmj:BMULJ_05755
A0A0H3KV76,bmj:BMULJ_05759
A0A0H3KQT3,bmj:BMULJ_05770
A0A0H3KR99,bmj:BMULJ_05773
A0A0H3KQH9,bmj:BMULJ_05777
A0A0H3KRA4,bmj:BMULJ_05779
A0A0H3KRB8,bmj:BMULJ_05798
A0A0H3KRB8,bmj:BMULJ_06232
P24575,bmj:BMULJ_00624
P24575,bmj:BMULJ_00955
P24575,bmj:BMULJ_00958
P24575,bmj:BMULJ_01430
P24575,bmj:BMULJ_02088
P24575,bmj:BMULJ_03075
P24575,bmj:BMULJ_05791
P24575,bmu:Bmul_0189
P24575,bmu:Bmul_1166
P24575,bmu:Bmul_1810
P24575,bmu:Bmul_2280
P24575,bmu:Bmul_2283
P24575,bmu:Bmul_2614
P24575,bmu:Bmul_5729
A0A0H3KRI4,bmj:BMULJ_02065
A0A0H3KRI4,bmj:BMULJ_05874
A0A0H3KQP3,bmj:BMULJ_00724
A0A0H3KQP3,bmj:BMULJ_03779
A0A0H3KQP3,bmj:BMULJ_05856
A0A0H3KTS5,bmj:BMULJ_03730
A0A0H3KTS5,bmj:BMULJ_05781
A0A0H3KPP9,bmj:BMULJ_05366
A0A0H3KXQ9,bmj:BMULJ_05365
A0A0H3KQ53,bmj:BMULJ_05364
A0A0H3KU99,bmj:BMULJ_05363
A0A0H3KS96,bmj:BMULJ_06172
A0A0H3KRG6,bmj:BMULJ_06170
A0A0H3KRV7,bmj:BMULJ_06169
A0A0H3KS93,bmj:BMULJ_06167
A0A0H3KRG1,bmj:BMULJ_06165
A0A0H3KRV1,bmj:BMULJ_06164
A0A0H3KZP6,bmj:BMULJ_06163
A0A0H3KW87,bmj:BMULJ_06155
A0A0H3KRF6,bmj:BMULJ_06154
A0A0H3KRU4,bmj:BMULJ_06153
A0A0H3KS85,bmj:BMULJ_06151
A0A0H3KW84,bmj:BMULJ_06150
A0A0H3KRF1,bmj:BMULJ_06149
A0A0H3KRT7,bmj:BMULJ_06148
A0A0H3KZN5,bmj:BMULJ_06147
A0A0H3KS81,bmj:BMULJ_06146
A0A0H3KW77,bmj:BMULJ_06145
A0A0H3KRE5,bmj:BMULJ_06144
A0A0H3KRT1,bmj:BMULJ_06143
A0A0H3KZM9,bmj:BMULJ_06142
A0A0H3KS77,bmj:BMULJ_06141
A0A0H3KRS8,bmj:BMULJ_06138
A0A0H3KZM3,bmj:BMULJ_06137
A0A0H3KW68,bmj:BMULJ_06135
A0A0H3KRD4,bmj:BMULJ_06134
A0A0H3KS59,bmj:BMULJ_06131
A0A0H3KW63,bmj:BMULJ_06130
A0A0H3KRC6,bmj:BMULJ_06129
A0A0H3KZL3,bmj:BMULJ_06127
A0A0H3KRR0,bmj:BMULJ_06123
A0A0H3KS50,bmj:BMULJ_06121
A0A0H3KW53,bmj:BMULJ_06120
A0A0H3KRQ6,bmj:BMULJ_06118
A0A0H3KZK7,bmj:BMULJ_06117
A0A0H3KW48,bmj:BMULJ_06115
A0A0H3KRA7,bmj:BMULJ_06114
A0A0H3KRQ2,bmj:BMULJ_06113
A0A0H3KS41,bmj:BMULJ_06111
A0A0H3KW42,bmj:BMULJ_06110
A0A0H3KRA2,bmj:BMULJ_06109
A0A0H3KRP7,bmj:BMULJ_06108
A0A0H3KZJ8,bmj:BMULJ_06107
A0A0H3KS29,bmj:BMULJ_06106
A0A0H3KZJ1,bmj:BMULJ_06102
A0A0H3KW32,bmj:BMULJ_06100
A0A0H3KR92,bmj:BMULJ_06099
A0A0H3KZI6,bmj:BMULJ_06097
A0A0H3KR87,bmj:BMULJ_06094
A0A0H3KS16,bmj:BMULJ_06091
A0A0H3KW20,bmj:BMULJ_06090
A0A0H3KR82,bmj:BMULJ_06089
A0A0H3KZH7,bmj:BMULJ_06087
A0A0H3KS11,bmj:BMULJ_06086
A0A0H3KW16,bmj:BMULJ_06085
A0A0H3KR77,bmj:BMULJ_06084
A0A0H3KRM1,bmj:BMULJ_06083
A0A0H3KZH3,bmj:BMULJ_06082
A0A0H3KR72,bmj:BMULJ_06077
A0A0H3KRL5,bmj:BMULJ_06076
A0A0H3KZG9,bmj:BMULJ_06075
A0A0H3KW06,bmj:BMULJ_06073
A0A0H3KR67,bmj:BMULJ_06072
A0A0H3KZG6,bmj:BMULJ_06070
A0A0H3KW01,bmj:BMULJ_06068
A0A0H3KRK5,bmj:BMULJ_06066
A0A0H3KRZ2,bmj:BMULJ_06064
A0A0H3KR61,bmj:BMULJ_06062
A0A0H3KZF7,bmj:BMULJ_06060
A0A0H3KRY8,bmj:BMULJ_06059
A0A0H3KRJ4,bmj:BMULJ_06056
A0A0H3KZF1,bmj:BMULJ_06055
A0A0H3KRY4,bmj:BMULJ_06054
A0A0H3KVY5,bmj:BMULJ_06053
A0A0H3KR54,bmj:BMULJ_06052
A0A0H3KRJ0,bmj:BMULJ_06051
A0A0H3KVX9,bmj:BMULJ_06048
A0A0H3KZE0,bmj:BMULJ_06045
A0A0H3KZD4,bmj:BMULJ_06040
A0A0H3KRX3,bmj:BMULJ_06039
A0A0H3KR39,bmj:BMULJ_06037
A0A0H3KRH5,bmj:BMULJ_06036
A0A0H3KZC7,bmj:BMULJ_06035
A0A0H3KRW5,bmj:BMULJ_06029
A0A0H3KRG5,bmj:BMULJ_06026
A0A0H3KRV9,bmj:BMULJ_06023
A0A0H3KVV3,bmj:BMULJ_06022
A0A0H3KR24,bmj:BMULJ_06021
A0A0H3KRV4,bmj:BMULJ_06018
A0A0H3KZA8,bmj:BMULJ_06014
A0A0H3KRU8,bmj:BMULJ_06013
A0A0H3KR13,bmj:BMULJ_06011
A0A0H3KRF0,bmj:BMULJ_06010
A0A0H3KZA2,bmj:BMULJ_06009
A0A0H3KVT8,bmj:BMULJ_06007
A0A0H3KR08,bmj:BMULJ_06006
A0A0H3KRE4,bmj:BMULJ_06005
A0A0H3KZ99,bmj:BMULJ_06004
A0A0H3KVT5,bmj:BMULJ_06002
A0A0H3KRT4,bmj:BMULJ_05998
A0A0H3KRD5,bmj:BMULJ_05993
A0A0H3KZ91,bmj:BMULJ_05992
A0A0H3KRS9,bmj:BMULJ_05991
A0A0H3KVS8,bmj:BMULJ_05990
A0A0H3KQZ6,bmj:BMULJ_05989
A0A0H3KRD0,bmj:BMULJ_05988
A0A0H3KRS4,bmj:BMULJ_05986
A0A0H3KVS4,bmj:BMULJ_05985
A0A0H3KQZ1,bmj:BMULJ_05984
A0A0H3KRC5,bmj:BMULJ_05983
A0A0H3KZ86,bmj:BMULJ_05982
A0A0H3KRR9,bmj:BMULJ_05981
A0A0H3KQY6,bmj:BMULJ_05979
A0A0H3KRB5,bmj:BMULJ_05973
A0A0H3KZ82,bmj:BMULJ_05972
A0A0H3KRQ7,bmj:BMULJ_05971
A0A0H3KVR0,bmj:BMULJ_05970
A0A0H3KQX8,bmj:BMULJ_05968
A0A0H3KZ78,bmj:BMULJ_05966
A0A0H3KRQ3,bmj:BMULJ_05965
A0A0H3KVQ6,bmj:BMULJ_05964
A0A0H3KQX2,bmj:BMULJ_05963
A0A0H3KRA6,bmj:BMULJ_05962
A0A0H3KZ74,bmj:BMULJ_05961
A0A0H3KVQ0,bmj:BMULJ_05959
A0A0H3KZ72,bmj:BMULJ_05956
A0A0H3KQW5,bmj:BMULJ_05953
A0A0H3KR94,bmj:BMULJ_05952
A0A0H3KZ69,bmj:BMULJ_05951
A0A0H3KRN9,bmj:BMULJ_05950
A0A0H3KVP0,bmj:BMULJ_05949
A0A0H3KQW1,bmj:BMULJ_05948
A0A0H3KZ65,bmj:BMULJ_05946
A0A0H3KRN4,bmj:BMULJ_05945
A0A0H3KR85,bmj:BMULJ_05942
A0A0H3KZ63,bmj:BMULJ_05941
A0A0H3KR81,bmj:BMULJ_05937
A0A0H3KZ59,bmj:BMULJ_05936
A0A0H3KRM7,bmj:BMULJ_05935
A0A0H3KVM5,bmj:BMULJ_05934
A0A0H3KR76,bmj:BMULJ_05932
A0A0H3KZ57,bmj:BMULJ_05931
A0A0H3KRM2,bmj:BMULJ_05930
A0A0H3KQU7,bmj:BMULJ_05928
A0A0H3KR71,bmj:BMULJ_05925
A0A0H3KRL7,bmj:BMULJ_05923
A0A0H3KQU4,bmj:BMULJ_05921
A0A0H3KZ47,bmj:BMULJ_05918
A0A0H3KRL3,bmj:BMULJ_05917
A0A0H3KVL0,bmj:BMULJ_05916
A0A0H3KZ45,bmj:BMULJ_05913
A0A0H3KVK5,bmj:BMULJ_05911
A0A0H3KR52,bmj:BMULJ_05909
A0A0H3KZ40,bmj:BMULJ_05908
A0A0H3KRK6,bmj:BMULJ_05907
A0A0H3KVJ9,bmj:BMULJ_05906
A0A0H3KR46,bmj:BMULJ_05904
A0A0H3KRK2,bmj:BMULJ_05902
A0A0H3KVJ4,bmj:BMULJ_05901
A0A0H3KQS9,bmj:BMULJ_05900
A0A0H3KR42,bmj:BMULJ_05899
A0A0H3KZ34,bmj:BMULJ_05898
A0A0H3KRK0,bmj:BMULJ_05897
A0A0H3KVI8,bmj:BMULJ_05896
A0A0H3KQS6,bmj:BMULJ_05895
A0A0H3KRJ7,bmj:BMULJ_05892
A0A0H3KVI1,bmj:BMULJ_05891
A0A0H3KQS1,bmj:BMULJ_05890
A0A0H3KR31,bmj:BMULJ_05889
A0A0H3KZ26,bmj:BMULJ_05888
A0A0H3KVH6,bmj:BMULJ_05885
A0A0H3KQR7,bmj:BMULJ_05884
A0A0H3KR26,bmj:BMULJ_05883
A0A0H3KVH2,bmj:BMULJ_05878
A0A0H3KR21,bmj:BMULJ_05876
A0A0H3KZ18,bmj:BMULJ_05875
A0A0H3KR16,bmj:BMULJ_05870
A0A0H3KZ09,bmj:BMULJ_05864
A0A0H3KVF5,bmj:BMULJ_05862
A0A0H3KQP9,bmj:BMULJ_05861
A0A0H3KR06,bmj:BMULJ_05860
A0A0H3KRG9,bmj:BMULJ_05853
A0A0H3KRG4,bmj:BMULJ_05848
A0A0H3KVE0,bmj:BMULJ_05847
A0A0H3KQZ0,bmj:BMULJ_05845
A0A0H3KYZ4,bmj:BMULJ_05844
A0A0H3KRF9,bmj:BMULJ_05843
A0A0H3KVD7,bmj:BMULJ_05842
A0A0H3KQY5,bmj:BMULJ_05840
A0A0H3KRF4,bmj:BMULJ_05838
A0A0H3KVD2,bmj:BMULJ_05837
A0A0H3KQM3,bmj:BMULJ_05836
A0A0H3KYY7,bmj:BMULJ_05834
A0A0H3KRE9,bmj:BMULJ_05833
A0A0H3KQL9,bmj:BMULJ_05831
A0A0H3KYY4,bmj:BMULJ_05829
A0A0H3KRE6,bmj:BMULJ_05828
A0A0H3KVC3,bmj:BMULJ_05827
A0A0H3KQL6,bmj:BMULJ_05826
A0A0H3KQX1,bmj:BMULJ_05825
A0A0H3KYY2,bmj:BMULJ_05824
A0A0H3KVB9,bmj:BMULJ_05822
A0A0H3KRD7,bmj:BMULJ_05818
A0A0H3KVB5,bmj:BMULJ_05817
A0A0H3KQK8,bmj:BMULJ_05816
A0A0H3KQW3,bmj:BMULJ_05815
A0A0H3KQV9,bmj:BMULJ_05810
A0A0H3KYX3,bmj:BMULJ_05809
A0A0H3KRC9,bmj:BMULJ_05808
A0A0H3KVA8,bmj:BMULJ_05807
A0A0H3KQJ9,bmj:BMULJ_05806
A0A0H3KQV5,bmj:BMULJ_05805
A0A0H3KYX0,bmj:BMULJ_05804
A0A0H3KVA3,bmj:BMULJ_05802
A0A0H3KQJ2,bmj:BMULJ_05801
A0A0H3KV94,bmj:BMULJ_05790
A0A0H3KYW2,bmj:BMULJ_05786
A0A0H3KRB0,bmj:BMULJ_05785
A0A0H3KV87,bmj:BMULJ_05778
A0A0H3KV84,bmj:BMULJ_05772
A0A0H3KYV1,bmj:BMULJ_05769
A0A0H3KV80,bmj:BMULJ_05765
A0A0H3KQS2,bmj:BMULJ_05752
A0A0H3KR79,bmj:BMULJ_05750
A0A0H3KQG5,bmj:BMULJ_05748
A0A0H3KQR9,bmj:BMULJ_05747
A0A0H3KV68,bmj:BMULJ_05744
A0A0H3KQR5,bmj:BMULJ_05742
A0A0H3KQF9,bmj:BMULJ_05734
A0A0H3KYS6,bmj:BMULJ_05732
A0A0H3KV60,bmj:BMULJ_05730
A0A0H3KQF7,bmj:BMULJ_05729
A0A0H3KYS2,bmj:BMULJ_05727
A0A0H3KR56,bmj:BMULJ_05726
A0A0H3KV57,bmj:BMULJ_05725
A0A0H3KV52,bmj:BMULJ_05719
A0A0H3KQF0,bmj:BMULJ_05718
A0A0H3KYR1,bmj:BMULJ_05716
A0A0H3KR47,bmj:BMULJ_05715
A0A0H3KV49,bmj:BMULJ_05713
A0A0H3KQE8,bmj:BMULJ_05711
A0A0H3KQP4,bmj:BMULJ_05710
A0A0H3KYQ6,bmj:BMULJ_05709
A0A0H3KR41,bmj:BMULJ_05707
A0A0H3KQE4,bmj:BMULJ_05705
A0A0H3KQP0,bmj:BMULJ_05704
A0A0H3KR37,bmj:BMULJ_05702
A0A0H3KV42,bmj:BMULJ_05701
A0A0H3KQD9,bmj:BMULJ_05700
A0A0H3KQN5,bmj:BMULJ_05699
A0A0H3KYP7,bmj:BMULJ_05698
A0A0H3KR32,bmj:BMULJ_05697
A0A0H3KV38,bmj:BMULJ_05696
A0A0H3KQN3,bmj:BMULJ_05694
A0A0H3KYP2,bmj:BMULJ_05693
A0A0H3KR27,bmj:BMULJ_05692
A0A0H3KV36,bmj:BMULJ_05691
A0A0H3KQM9,bmj:BMULJ_05689
A0A0H3KYN7,bmj:BMULJ_05688
A0A0H3KR22,bmj:BMULJ_05687
A0A0H3KYN2,bmj:BMULJ_05683
A0A0H3KQM2,bmj:BMULJ_05679
A0A0H3KYM7,bmj:BMULJ_05678
A0A0H3KR14,bmj:BMULJ_05677
A0A0H3KQC3,bmj:BMULJ_05675
A9ASJ1,bmj:BMULJ_05674
A9ASJ1,bmu:Bmul_5850
A0A0H3KYM2,bmj:BMULJ_05672
A0A0H3KQC0,bmj:BMULJ_05666
A0A0H3KQL4,bmj:BMULJ_05665
A0A0H3KYL7,bmj:BMULJ_05664
A0A0H3KR02,bmj:BMULJ_05663
A0A0H3KQB7,bmj:BMULJ_05659
A0A0H3KQL0,bmj:BMULJ_05658
A0A0H3KQB4,bmj:BMULJ_05654
A0A0H3KQK6,bmj:BMULJ_05653
A0A0H3KYK9,bmj:BMULJ_05652
A0A0H3KQB1,bmj:BMULJ_05649
A0A0H3KQK1,bmj:BMULJ_05648
A0A0H3KYK6,bmj:BMULJ_05647
A0A0H3KQY7,bmj:BMULJ_05646
A0A0H3KQJ6,bmj:BMULJ_05643
A0A0H3KQV6,bmj:BMULJ_05641
A0A0H3KQ87,bmj:BMULJ_05639
A0A0H3KUX8,bmj:BMULJ_05635
A0A0H3KYG3,bmj:BMULJ_05632
A0A0H3KQU5,bmj:BMULJ_05631
A0A0H3KQF3,bmj:BMULJ_05628
A0A0H3KYF8,bmj:BMULJ_05627
A0A0H3KQU1,bmj:BMULJ_05626
A0A0H3KUW9,bmj:BMULJ_05625
A0A0H3KQ77,bmj:BMULJ_05624
A0A0H3KQE5,bmj:BMULJ_05623
A0A0H3KQT5,bmj:BMULJ_05621
A0A0H3KUW5,bmj:BMULJ_05620
A0A0H3KQ73,bmj:BMULJ_05619
A0A0H3KQE0,bmj:BMULJ_05618
A0A0H3KYE6,bmj:BMULJ_05617
A0A0H3KQT1,bmj:BMULJ_05616
A0A0H3KQ68,bmj:BMULJ_05613
A0A0H3KQD4,bmj:BMULJ_05612
A0A0H3KYE1,bmj:BMULJ_05611
A0A0H3KQS5,bmj:BMULJ_05610
A0A0H3KUV7,bmj:BMULJ_05609
A0A0H3KQS0,bmj:BMULJ_05605
A0A0H3KYC9,bmj:BMULJ_05601
A0A0H3KUV1,bmj:BMULJ_05599
A0A0H3KUU8,bmj:BMULJ_05594
A0A0H3KQ50,bmj:BMULJ_05593
A0A0H3KQQ3,bmj:BMULJ_05590
A0A0H3KUU4,bmj:BMULJ_05589
A0A0H3KQ45,bmj:BMULJ_05588
A0A0H3KQA2,bmj:BMULJ_05587
A0A0H3KYB2,bmj:BMULJ_05586
A0A0H3KQP6,bmj:BMULJ_05585
A9AST0,bmj:BMULJ_05584
A9AST0,bmu:Bmul_5942
A0A0H3KUU0,bmj:BMULJ_05583
A0A0H3KQ41,bmj:BMULJ_05582
A0A0H3KQ98,bmj:BMULJ_05581
A0A0H3KQP1,bmj:BMULJ_05579
A0A0H3KUT7,bmj:BMULJ_05578
A0A0H3KUT4,bmj:BMULJ_05571
A0A0H3KQ91,bmj:BMULJ_05569
A0A0H3KQN2,bmj:BMULJ_05567
A0A0H3KUS9,bmj:BMULJ_05566
A0A0H3KQ85,bmj:BMULJ_05564
A0A0H3KQ79,bmj:BMULJ_05559
A0A0H3KY83,bmj:BMULJ_05558
A0A0H3KY77,bmj:BMULJ_05553
A0A0H3KQ71,bmj:BMULJ_05549
A0A0H3KQL5,bmj:BMULJ_05547
A0A0H3KUQ7,bmj:BMULJ_05546
A0A0H3KUQ2,bmj:BMULJ_05541
A0A0H3KQK9,bmj:BMULJ_05537
A0A0H3KQ00,bmj:BMULJ_05535
A0A0H3KQ56,bmj:BMULJ_05534
A0A0H3KY53,bmj:BMULJ_05533
A0A0H3KUP2,bmj:BMULJ_05531
A0A0H3KQ51,bmj:BMULJ_05529
A0A0H3KY49,bmj:BMULJ_05528
A0A0H3KUP0,bmj:BMULJ_05526
A0A0H3KPZ6,bmj:BMULJ_05525
A0A0H3KQ46,bmj:BMULJ_05524
A0A0H3KUN5,bmj:BMULJ_05521
A0A0H3KQ39,bmj:BMULJ_05519
A0A0H3KUN0,bmj:BMULJ_05516
A0A0H3KPZ0,bmj:BMULJ_05513
A0A0H3KQ32,bmj:BMULJ_05512
A0A0H3KY37,bmj:BMULJ_05511
A0A0H3KUM6,bmj:BMULJ_05509
A0A0H3KPY6,bmj:BMULJ_05508
A0A0H3KQ26,bmj:BMULJ_05507
A0A0H3KY33,bmj:BMULJ_05506
A0A0H3KQI5,bmj:BMULJ_05505
A0A0H3KPY3,bmj:BMULJ_05503
A0A0H3KY29,bmj:BMULJ_05501
A0A0H3KQI2,bmj:BMULJ_05500
A0A0H3KUL6,bmj:BMULJ_05499
A0A0H3KPV7,bmj:BMULJ_05498
A0A0H3KQ17,bmj:BMULJ_05497
A0A0H3KQH7,bmj:BMULJ_05495
A0A0H3KQ13,bmj:BMULJ_05492
A0A0H3KQH2,bmj:BMULJ_05490
A0A0H3KUL0,bmj:BMULJ_05489
A0A0H3KQG7,bmj:BMULJ_05485
A0A0H3KUK7,bmj:BMULJ_05484
A0A0H3KQ02,bmj:BMULJ_05482
A0A0H3KY12,bmj:BMULJ_05481
A0A0H3KQG2,bmj:BMULJ_05480
A0A0H3KUK2,bmj:BMULJ_05479
A0A0H3KPK1,bmj:BMULJ_05478
A0A0H3KY08,bmj:BMULJ_05476
A0A0H3KQF4,bmj:BMULJ_05475
A0A0H3KUJ7,bmj:BMULJ_05474
A0A0H3KPY8,bmj:BMULJ_05472
A9AT43,bmj:BMULJ_05470
A9AT43,bmu:Bmul_6057
A0A0H3KQE7,bmj:BMULJ_05469
A0A0H3KUJ3,bmj:BMULJ_05468
A0A0H3KPY1,bmj:BMULJ_05466
A0A0H3KXZ7,bmj:BMULJ_05465
A0A0H3KQE1,bmj:BMULJ_05464
A0A0H3KUI9,bmj:BMULJ_05463
A0A0H3KPI3,bmj:BMULJ_05462
A0A0H3KPX8,bmj:BMULJ_05461
