From,To
A0A094ZZI7,eclg:EC036_02500
A0A094ZZI7,ecli:ECNIH5_01505
A0A094ZZI7,ecln:ECNIH4_01280
A0A097V0F7,eclg:EC036_33650
A0A097V0F7,ecli:ECNIH5_16270
A0A097V0F7,ecln:ECNIH4_05665
A0A094ZRS5,eclg:EC036_40470
A0A094ZRS5,ecli:ECNIH5_19885
A0A094ZRS5,ecln:ECNIH4_02400
A0A094XHP3,ecli:ECNIH5_19960
A0A094XHP3,ecln:ECNIH4_02325
A0A0M3EZP0,eclg:EC036_40630
A0A0M3EZP0,ecln:ECNIH4_02310
A0A0F1PNH1,eclg:EC036_40650
A0A0F1PNH1,ecli:ECNIH5_19985
A0A0F1PNH1,ecln:ECNIH4_02300
A0A144G2W4,eclg:EC036_39280
A0A094YFL1,eclg:EC036_39460
A0A094YFL1,ecli:ECNIH5_19340
A0A094YFL1,ecln:ECNIH4_02980
A0A6L3E4D7,eclg:EC036_03740
A0A6L3E4D7,ecln:ECNIH4_20895
A0A094Y652,eclg:EC036_18510
A0A094Y652,ecli:ECNIH5_09340
A0A094Y652,ecln:ECNIH4_13110
A0A0N8M0W5,eclg:EC036_03630
A0A0N8M0W5,ecli:ECNIH5_02080
A0A0N8M0W5,ecln:ECNIH4_20955
A0A0F1Q457,eclg:EC036_03660
A0A0F1Q457,ecli:ECNIH5_02095
A0A0F1Q457,ecln:ECNIH4_20940
A0A094YJY9,eclg:EC036_04190
A0A094YJY9,ecli:ECNIH5_02385
A0A094XPJ0,eclg:EC036_08280
A0A094XPJ0,ecli:ECNIH5_04205
A0A094XPJ0,ecln:ECNIH4_18550
A0A094YM64,eclg:EC036_08000
A0A0M2G851,eclg:EC036_07700
A0A095A3V3,eclg:EC036_07290
A0A095A3V3,ecli:ECNIH5_03720
A0A0M2GAQ6,ecli:ECNIH5_03405
A0A0M2GAQ6,ecln:ECNIH4_19430
A0A0M2GAR9,eclg:EC036_06440
A0A0M2GAR9,ecli:ECNIH5_03320
A0A0M2GAR9,ecln:ECNIH4_19515
A0A144DZY6,eclg:EC036_06210
A0A144DZY6,ecli:ECNIH5_03205
A0A144DZY6,ecln:ECNIH4_19675
A0A0N8LZZ8,eclg:EC036_05830
A0A0N8LZZ8,ecli:ECNIH5_03005
A0A0N8LZZ8,ecln:ECNIH4_19920
A0A0P8J226,eclg:EC036_25810
A0A0P8J226,ecli:ECNIH5_12120
A0A0P8J226,ecln:ECNIH4_09960
A0A094YQ37,eclg:EC036_25580
A0A094YQ37,ecli:ECNIH5_12010
A0A0M2GAS0,eclg:EC036_24360
A0A0M2GAS0,ecli:ECNIH5_10090
A0A0M2GAS0,ecln:ECNIH4_10565
A0A094YPF7,eclg:EC036_20070
A0A094YPF7,ecli:ECNIH5_11720
A0A094Y5N5,eclg:EC036_17470
A0A0P8LEP8,eclg:EC036_16520
A0A0P8LEP8,ecli:ECNIH5_08240
A0A0P8LEP8,ecln:ECNIH4_14100
A0A0P8JBY6,eclg:EC036_16470
A0A0P8JBY6,ecli:ECNIH5_08215
A0A0P8JBY6,ecln:ECNIH4_14125
A0A094Y5Q2,ecln:ECNIH4_14180
A0A095A996,eclg:EC036_14710
A0A095A996,ecli:ECNIH5_07485
A0A0U1PKJ8,eclg:EC036_13930
A0A0U1PKJ8,ecln:ECNIH4_15370
A0A0M2GE25,eclg:EC036_13380
A0A0M2GE25,ecln:ECNIH4_15635
A0A0P8N5H6,eclg:EC036_12680
A0A0P8N5H6,ecli:ECNIH5_06445
A0A0P8N5H6,ecln:ECNIH4_16000
A0A0F1PYA6,eclg:EC036_12640
A0A0F1PYA6,ecln:ECNIH4_16020
A0A0M2GAI9,eclg:EC036_12170
A0A0M2GAI9,ecli:ECNIH5_06150
A0A094X539,eclg:EC036_12030
A0A094X539,ecli:ECNIH5_06080
A0A094X539,ecln:ECNIH4_16365
A0A0M3F9W7,eclg:EC036_11980
A0A0M3F9W7,ecli:ECNIH5_06055
A0A0M3F9W7,ecln:ECNIH4_16390
A0A0M2GCW6,eclg:EC036_10470
A0A0M2GCW6,ecli:ECNIH5_05235
A0A097UTT0,eclg:EC036_10310
A0A097UTT0,ecli:ECNIH5_05155
A0A097UTT0,ecln:ECNIH4_17430
A0A4Q4A895,eclg:EC036_09780
A0A4Q4A895,ecli:ECNIH5_04860
A0A0M2G8T8,eclg:EC036_30780
A0A0M2G8T8,ecli:ECNIH5_14750
A0A0M2G8T8,ecln:ECNIH4_07380
A0A094XUV1,eclg:EC036_26560
A0A144S3Z5,eclg:EC036_02000
A0A144S3Z5,ecli:ECNIH5_21045
A0A144S3Z5,ecln:ECNIH4_01015
A0A0M2G5J0,eclg:EC036_43190
A0A0M2G5J0,ecli:ECNIH5_21285
A0A0M2G5J0,ecln:ECNIH4_22040
A0A0M2G5C2,eclg:EC036_03050
A0A0M2G5C2,ecli:ECNIH5_01775
A0A427KQ83,eclg:EC036_40180
A0A427KQ83,ecli:ECNIH5_19710
A0A427KQ83,ecln:ECNIH4_02615
A0A0N8LZP6,eclg:EC036_40030
A0A0N8LZP6,ecli:ECNIH5_19635
A0A0N8LZP6,ecln:ECNIH4_02690
A0A094XQ21,eclg:EC036_32460
A0A0P8L7I3,eclg:EC036_32860
A0A0P8L7I3,ecli:ECNIH5_15765
A0A0P8L7I3,ecln:ECNIH4_06285
A0A094WVG3,eclg:EC036_32990
A0A094WVG3,ecli:ECNIH5_15830
A0A094Z7J5,eclg:EC036_33000
A0A094Z7J5,ecli:ECNIH5_15835
A0A094Z7J5,ecln:ECNIH4_06215
A0A094XSX5,eclg:EC036_33030
A0A094XSX5,ecli:ECNIH5_15850
A0A094XSX5,ecln:ECNIH4_06200
A0A0M2G5L3,eclg:EC036_33040
A0A0M2G5L3,ecli:ECNIH5_15855
A0A0M2G5L3,ecln:ECNIH4_06195
A0A094WXR5,eclg:EC036_33050
A0A0P8IEU0,eclg:EC036_33160
A0A0P8IEU0,ecli:ECNIH5_15920
A0A0P8IEU0,ecln:ECNIH4_06135
A0A330GKG7,eclg:EC036_33310
A0A0W1ZLD2,eclg:EC036_02060
A0A0W1ZLD2,ecli:ECNIH5_01265
A0A0W1ZLD2,ecln:ECNIH4_01040
A0A0P8J701,eclg:EC036_42700
A0A0P8J701,ecli:ECNIH5_01185
A0A0P8J701,ecln:ECNIH4_21735
A0A094ZZX0,eclg:EC036_01490
A0A094ZZX0,ecli:ECNIH5_00940
A0A094XMP0,eclg:EC036_00080
A0A094XMP0,ecli:ECNIH5_00260
A0A094XUP2,eclg:EC036_42220
A0A094XUP2,ecli:ECNIH5_20830
A0A094XUP2,ecln:ECNIH4_01470
A0A0M2G7C7,ecli:ECNIH5_20825
A0A0M2G7C7,ecln:ECNIH4_01475
A0A094XU79,eclg:EC036_32050
A0A094XU79,ecln:ECNIH4_06675
A0A0M3F6B7,eclg:EC036_31980
A0A0M3F6B7,ecli:ECNIH5_15365
A0A156AQK3,eclg:EC036_31180
A0A156AQK3,ecli:ECNIH5_14950
A0A156AQK3,ecln:ECNIH4_07175
A0A0E3A9B1,eclg:EC036_31160
A0A094YMR4,eclg:EC036_31150
A0A094YMR4,ecli:ECNIH5_14935
A0A094YMR4,ecln:ECNIH4_07190
A0A094XSR5,eclg:EC036_31120
A0A094XSR5,ecli:ECNIH5_14920
A0A094XSR5,ecln:ECNIH4_07205
