From,To
F8LM08,ssr:SALIVB_2134
F8LLS1,ssr:SALIVB_2044
F8LLX2,ssr:SALIVB_2097
F8LLR7,ssr:SALIVB_2040
F8LM12,ssr:SALIVB_2138
F8LLS4,ssr:SALIVB_2047
F8LLZ7,ssr:SALIVB_2123
F8LLI7,ssr:SALIVB_1958
F8LLT9,ssr:SALIVB_2062
F8LLP3,ssr:SALIVB_2014
F8LLL0,ssr:SALIVB_1981
F8LLZ9,ssr:SALIVB_2125
F8LLZ5,ssr:SALIVB_2121
F8LLR1,ssr:SALIVB_2034
F8LLS8,ssr:SALIVB_2051
F8LLR3,ssr:SALIVB_2036
F8LLJ3,ssr:SALIVB_1964
F8LLT2,ssr:SALIVB_2055
F8LM01,ssr:SALIVB_2127
F8LLV5,ssr:SALIVB_2080
F8LLN4,ssr:SALIVB_2005
F8LLU2,ssr:SALIVB_2065
F8LLT0,ssr:SALIVB_2053
F8LLT8,ssr:SALIVB_2061
F8LLS0,ssr:SALIVB_2043
F8LLV4,ssr:SALIVB_2079
F8LLT7,ssr:SALIVB_2060
F8LLI6,ssr:SALIVB_1957
F8LM00,ssr:SALIVB_2126
F8LLM9,ssr:SALIVB_2000
F8LLI9,ssr:SALIVB_1960
F8LLR4,ssr:SALIVB_2037
F8LLZ8,ssr:SALIVB_2124
F8LLS9,ssr:SALIVB_2052
F8LLG9,ssr:SALIVB_1939
F8LLI8,ssr:SALIVB_1959
F8LLS7,ssr:SALIVB_2050
F8LKA4,ssr:SALIVB_1503
F8LK79,ssr:SALIVB_1474
F8LKJ5,ssr:SALIVB_1601
F8LKG0,ssr:SALIVB_1563
F8LKK3,ssr:SALIVB_1609
F8LK52,ssr:SALIVB_1447
F8LK24,ssr:SALIVB_1416
F8LKA2,ssr:SALIVB_1501
F8LHH7,ssr:SALIVB_0491
F8LJX4,ssr:SALIVB_1366
F8LK76,ssr:SALIVB_1471
F8LK72,ssr:SALIVB_1467
F8LJX7,ssr:SALIVB_1369
F8LKK0,ssr:SALIVB_1606
F8LKA6,ssr:SALIVB_1505
F8LK60,ssr:SALIVB_1455
F8LKK1,ssr:SALIVB_1607
F8LKG4,ssr:SALIVB_1568
F8LK44,ssr:SALIVB_1438
F8LK94,ssr:SALIVB_1493
F8LK41,ssr:SALIVB_1435
F8LKH8,ssr:SALIVB_1583
F8LK71,ssr:SALIVB_1466
F8LHI1,ssr:SALIVB_0495
F8LJW6,ssr:SALIVB_1358
F8LK50,ssr:SALIVB_1445
F8LK54,ssr:SALIVB_1449
F8LJX2,ssr:SALIVB_1364
F8LKB5,ssr:SALIVB_1514
F8LKK4,ssr:SALIVB_1610
F8LKI7,ssr:SALIVB_1592
F8LKG3,ssr:SALIVB_1567
F8LKA3,ssr:SALIVB_1502
F8LKC7,ssr:SALIVB_1526
