From	To
Q8DQA3	spr:spr0772
Q8DRL4	spr:spr0059
Q8CZB8	spr:spr0088
Q8CWQ1	spr:spr1451
Q8DNW9	spr:spr1491
Q8DRJ1	spr:spr0093
Q8DPR3	spr:spr1044
Q8DPR4	spr:spr1043
Q8DN58	spr:spr1903
Q8DQK5	spr:spr0629
Q8DR82	spr:spr0285
P65583	spr:spr0390
Q8CYA7	spr:spr1750
P65888	spr:spr0021
Q8DR89	spr:spr0276
Q8DR24	spr:spr0370
Q8DNJ7	spr:spr1682
Q8DR48	spr:spr0341
Q8DNK6	spr:spr1669
Q8DR07	spr:spr0399
Q8DP91	spr:spr1287
Q8DR03	spr:spr0403
Q8DQB3	spr:spr0758
Q8DNB9	spr:spr1817
Q8DQI6	spr:spr0652
Q8DRM5	spr:spr0047
Q8DRK8	spr:spr0066
Q8DP06	spr:spr1433
Q8DQJ8	spr:spr0638
Q8DNV3	spr:spr1519
Q8DNS6	spr:spr1569
Q8DNF1	spr:spr1776
Q8DQX0	spr:spr0450
Q8DP87	spr:spr1293
Q8DRA7	spr:spr0246
Q8DP03	spr:spr1437
Q8DNT9	spr:spr1543
Q8DNU3	spr:spr1533
Q8DRC1	spr:spr0230
Q8CYD0	spr:spr1651
Q8DNG0	spr:spr1759
P0A3Y4	spr:spr1499
Q8DQK1	spr:spr0633
Q8DQE7	spr:spr0713
Q8DN95	spr:spr1848
Q8DNU5	spr:spr1530
Q8DN04	spr:spr1996
Q8DNA0	spr:spr1843
Q8DNQ3	spr:spr1596
Q8DRA3	spr:spr0254
P66633	spr:spr0203
Q8DQC3	spr:spr0746
Q8DQV1	spr:spr0482
P0A456	spr:spr0330
Q8CYK3	spr:spr1345
Q8DN86	spr:spr1864
Q8CY65	spr:spr1949
Q8DN98	spr:spr1845
Q8CYF9	spr:spr1523
Q8DRE6	spr:spr0168
Q8DQG9	spr:spr0672
Q8DQW9	spr:spr0453
P0A4M6	spr:spr1495
Q8CYE2	spr:spr1611
P0A2W1	spr:spr0378
Q8DRQ1	spr:spr0006
Q8DQM7	spr:spr0595
Q8CY87	spr:spr1851
Q8DQZ6	spr:spr0415
Q8CZ11	spr:spr0599
Q8DNZ8	spr:spr1444
Q8CY84	spr:spr1858
Q8DMX3	spr:spr2032
Q8CWM8	spr:spr2020
Q8DQH6	spr:spr0664
P66445	spr:spr0682
Q8DRE8	spr:spr0165
Q8DP78	spr:spr1312
Q8DRJ5	spr:spr0089
Q8CZ44	spr:spr0473
Q8DPQ6	spr:spr1052
Q8DRF5	spr:spr0154
Q8CY59	spr:spr1992
P60935	spr:spr0413
Q8CYH5	spr:spr1476
Q8DNH4	spr:spr1724
Q8DQA5	spr:spr0769
Q8CZD3	spr:spr0003
Q8DRG6	spr:spr0137
Q8DNF8	spr:spr1761
Q8CYA4	spr:spr1753
Q8DQR2	spr:spr0539
Q8CWN3	spr:spr1943
Q8CYL4	spr:spr1305
Q8CZC3	spr:spr0074
Q8DRP3	spr:spr0022
Q7CRB2	spr:spr1361
Q8DNM8	spr:spr1632
Q8CWU8	spr:spr0216
Q8CZ53	spr:spr0436
Q8DRA8	spr:spr0245
Q8DQP5	spr:spr0564
Q8CYJ1	spr:spr1393
Q8DN91	spr:spr1855
Q8DP55	spr:spr1344
Q8DP31	spr:spr1390
Q9EUQ7	spr:spr1691
P63958	spr:spr1980
Q8DQN1	spr:spr0591
Q8DRD2	spr:spr0218
Q8DN75	spr:spr1880
P64404	spr:spr1993
Q8DNE8	spr:spr1781
P59200	spr:spr0032
Q7CRB4	spr:spr0465
P0A2Z5	spr:spr1363
Q8DQZ0	spr:spr0425
Q8DNY2	spr:spr1464
Q8DNV4	spr:spr1518
Q8CZ17	spr:spr0572
Q8DMW4	spr:spr2042
Q8DQV8	spr:spr0475
P67294	spr:spr1697
Q8DRN5	spr:spr0035
Q8CYL9	spr:spr1291
Q8DPS6	spr:spr1029
P63641	spr:spr1696
Q8DP67	spr:spr1327
P59657	spr:spr0269
Q8DR84	spr:spr0282
Q8CZ77	spr:spr0281
Q8DRG7	spr:spr0136
Q8DMY1	spr:spr2024
Q8DQG4	spr:spr0683
P59656	spr:spr0268
Q8DR73	spr:spr0296
Q8DQK9	spr:spr0624
Q8DQZ5	spr:spr0417
Q8DR18	spr:spr0376
Q8DNE9	spr:spr1778
Q8DP30	spr:spr1391
Q8DNQ5	spr:spr1594
Q8DR34	spr:spr0356
P0A2Y9	spr:spr1365
Q8DNS1	spr:spr1576
Q8DQV9	spr:spr0474
Q8CZ05	spr:spr0616
Q8DRB8	spr:spr0233
Q8DMY9	spr:spr2014
Q8DQK0	spr:spr0634
Q8DR19	spr:spr0375
Q8CY79	spr:spr1883
Q8DPQ4	spr:spr1055
Q8DQY6	spr:spr0429
Q8DQF3	spr:spr0702
Q7ZAK4	spr:spr1754
Q8CYJ7	spr:spr1372
Q8CYK9	spr:spr1318
Q8DRC5	spr:spr0226
Q8DNR9	spr:spr1578
