From,To
A6TH04,kpn:KPN_04483
A6TH08,kpn:KPN_04487
A6TH09,kpn:KPN_04488
A6TH10,kpn:KPN_04489
A6TH17,kpn:KPN_04496
A6TH19,kpn:KPN_04498
A6TH22,kpn:KPN_04501
A6TH25,kpn:KPN_04504
A6TH32,kpn:KPN_04511
A6TH37,kpn:KPN_04516
A6TH45,kpn:KPN_04525
A6TH48,kpn:KPN_04528
A6TH53,kpn:KPN_04533
A6TH64,kpn:KPN_04544
A6TH65,kpn:KPN_04545
A6TH66,kpn:KPN_04546
A6TH68,kpn:KPN_04548
A6TH69,kpn:KPN_04549
A6TH70,kpn:KPN_04550
A6TH77,kpn:KPN_04557
A6TH78,kpn:KPN_04558
A6TH83,kpn:KPN_04566
A6TH86,kpn:KPN_04569
A6TH87,kpn:KPN_04570
A6TH90,kpn:KPN_04573
A6TH91,kpn:KPN_04574
A6TH92,kpn:KPN_04575
A6TH93,kpn:KPN_04576
A6TH94,kpn:KPN_04577
A6TH96,kpn:KPN_04579
A6THA3,kpn:KPN_04586
A6THA4,kpn:KPN_04587
A6THA5,kpn:KPN_04588
A6THB0,kpn:KPN_04593
A6THB1,kpn:KPN_04594
A6THB4,kpn:KPN_04597
A6THC1,kpn:KPN_04604
A6THC2,kpn:KPN_04605
A6THC6,kpn:KPN_04609
A6THC7,kpn:KPN_04610
A6THD1,kpn:KPN_04614
A6THD3,kpn:KPN_04616
A6THE0,kpn:KPN_04623
A6THE3,kpn:KPN_04626
A6THE9,kpn:KPN_04632
A6THF0,kpn:KPN_04633
A6THF2,kpn:KPN_04635
A6THF3,kpn:KPN_04636
A6THG0,kpn:KPN_04643
A6THG4,kpn:KPN_04647
A6THH2,kpn:KPN_04655
A6THH3,kpn:KPN_04656
A6THH4,kpn:KPN_04657
A6THH7,kpn:KPN_04660
A6THI2,kpn:KPN_04665
A6THI3,kpn:KPN_04666
A6THI4,kpn:KPN_04667
A6THJ4,kpn:KPN_04677
A6THQ0,kpn:KPN_04734
A6THQ6,kpn:KPN_04740
A6THQ8,kpn:KPN_04742
A6THQ9,kpn:KPN_04743
A6THR0,kpn:KPN_04748
A6THR5,kpn:KPN_04753
A6THR8,kpn:KPN_04756
A6THS2,kpn:KPN_04760
A6THS4,kpn:KPN_04762
A6THS5,kpn:KPN_04763
A6THS6,kpn:KPN_04764
A6THS7,kpn:KPN_04765
A6THS8,kpn:KPN_04766
A6THT3,kpn:KPN_04771
A6THT7,kpn:KPN_04775
A6THT8,kpn:KPN_04776
A6THU1,kpn:KPN_04779
A6THU2,kpn:KPN_04780
A6THU6,kpn:KPN_04784
A6THU8,kpn:KPN_04786
A6THV2,kpn:KPN_04790
A6THV5,kpn:KPN_04793
A6THW1,kpn:KPN_04799
A6THW4,kpn:KPN_04802
A6THX4,kpn:KPN_04812
A6THX5,kpn:KPN_04813
A6THX8,kpn:KPN_04816
A6THY3,kpn:KPN_04821
A6THZ0,kpn:KPN_04831
A6THZ2,kpn:KPN_04833
A6THZ6,kpn:KPN_04837
A6THZ7,kpn:KPN_04838
A6TI00,kpn:KPN_04841
A6TI01,kpn:KPN_04842
A6TI03,kpn:KPN_04844
A6TI04,kpn:KPN_04845
A6TI07,kpn:KPN_04848
A6TI09,kpn:KPN_04850
A6TI10,kpn:KPN_04851
A6TI12,kpn:KPN_04853
A6TI15,kpn:KPN_04856
A6TI16,kpn:KPN_04857
A6T4E3,kpn:KPN_00003
A6T4E6,kpn:KPN_00006
A6T4E8,kpn:KPN_00008
A6T4E9,kpn:KPN_00009
A6T4F5,kpn:KPN_00015
A6T4F7,kpn:KPN_00017
A6T4F9,kpn:KPN_00020
A6T4G1,kpn:KPN_00022
A6T4G2,kpn:KPN_00023
A6T4G3,kpn:KPN_00024
A6T4G4,kpn:KPN_00025
A6T4I0,kpn:KPN_00041
A6T4I1,kpn:KPN_00042
A6T4I4,kpn:KPN_00045
A6T4I5,kpn:KPN_00046
A6T4I7,kpn:KPN_00048
A6T4I9,kpn:KPN_00050
A6T4J1,kpn:KPN_00052
A6T4J2,kpn:KPN_00053
A6T4J3,kpn:KPN_00054
A6T4J4,kpn:KPN_00055
A6T4J5,kpn:KPN_00056
A6T4K3,kpn:KPN_00064
A6T4K8,kpn:KPN_00069
A6T4L4,kpn:KPN_00075
A6T4L8,kpn:KPN_00079
A6T4M1,kpn:KPN_00082
A6T4M2,kpn:KPN_00083
A6T4M5,kpn:KPN_00086
A6T4M6,kpn:KPN_00087
A6T4M7,kpn:KPN_00088
A6T4N0,kpn:KPN_00091
A6T4N2,kpn:KPN_00093
A6T4N3,kpn:KPN_00094
A6T4N6,kpn:KPN_00097
A6T4N7,kpn:KPN_00098
A6T4N8,kpn:KPN_00099
A6T4N9,kpn:KPN_00100
A6T4P1,kpn:KPN_00102
A6T4P3,kpn:KPN_00104
A6T4P4,kpn:KPN_00105
A6T4P5,kpn:KPN_00106
A6T4P9,kpn:KPN_00110
A6T4Q0,kpn:KPN_00111
A6T4Q6,kpn:KPN_00117
A6T4Q7,kpn:KPN_00118
A6T4Q9,kpn:KPN_00120
A6T4R4,kpn:KPN_00125
A6T4R5,kpn:KPN_00126
A6T4R6,kpn:KPN_00127
A6T4R8,kpn:KPN_00129
A6T4S4,kpn:KPN_00135
A6T4S5,kpn:KPN_00136
A6T4S8,kpn:KPN_00139
A6T4S9,kpn:KPN_00140
A6T4T0,kpn:KPN_00141
A6T4T4,kpn:KPN_00145
A6T4T5,kpn:KPN_00146
A6T4U4,kpn:KPN_00155
A6T4V5,kpn:KPN_00166
A6T4V8,kpn:KPN_00169
A6T4W0,kpn:KPN_00171
A6T4W1,kpn:KPN_00172
A6T4W2,kpn:KPN_00173
A6T4W3,kpn:KPN_00174
A6T4W7,kpn:KPN_00178
A6T4W8,kpn:KPN_00179
A6T4X1,kpn:KPN_00182
A6T4X3,kpn:KPN_00184
A6T4Y1,kpn:KPN_00192
A6T4Y4,kpn:KPN_00195
A6T4Y5,kpn:KPN_00196
A6T4Y9,kpn:KPN_00200
A6T4Z3,kpn:KPN_00204
A6T4Z4,kpn:KPN_00205
A6T4Z8,kpn:KPN_00209
A6T4Z9,kpn:KPN_00210
A6T500,kpn:KPN_00211
A6T501,kpn:KPN_00212
A6T502,kpn:KPN_00213
A6T505,kpn:KPN_00222
A6T512,kpn:KPN_00229
A6T517,kpn:KPN_00235
A6T519,kpn:KPN_00237
A6T520,kpn:KPN_00238
A6T521,kpn:KPN_00239
A6T524,kpn:KPN_00242
A6T526,kpn:KPN_00244
A6T530,kpn:KPN_00248
A6T532,kpn:KPN_00250
A6T533,kpn:KPN_00251
A6T534,kpn:KPN_00252
A6T538,kpn:KPN_00256
A6T539,kpn:KPN_00257
A6T541,kpn:KPN_00259
A6T572,kpn:KPN_00291
A6T575,kpn:KPN_00294
A6T576,kpn:KPN_00295
A6T580,kpn:KPN_00299
A6T581,kpn:KPN_00300
A6T582,kpn:KPN_00301
A6T585,kpn:KPN_00304
A6T590,kpn:KPN_00309
A6T592,kpn:KPN_00311
A6T597,kpn:KPN_00316
A6T5A1,kpn:KPN_00320
A6T5A2,kpn:KPN_00321
A6T5A3,kpn:KPN_00322
A6T5A6,kpn:KPN_00325
A6T5A7,kpn:KPN_00326
A6T5B2,kpn:KPN_00331
A6T5B3,kpn:KPN_00332
A6T5B4,kpn:KPN_00333
A6T5B6,kpn:KPN_00335
A6T5B7,kpn:KPN_00336
A6T5C1,kpn:KPN_00340
A6T5C7,kpn:KPN_00346
A6T5C8,kpn:KPN_00347
A6T5D1,kpn:KPN_00350
A6T5D3,kpn:KPN_00352
A6T5D7,kpn:KPN_00356
A6T5D8,kpn:KPN_00357
A6T5D9,kpn:KPN_00358
A6T5E1,kpn:KPN_00360
A6T5E4,kpn:KPN_00363
A6T5E5,kpn:KPN_00364
A6T5E6,kpn:KPN_00365
A6T5E9,kpn:KPN_00368
A6T5F5,kpn:KPN_00374
A6T5G3,kpn:KPN_00382
A6T5G4,kpn:KPN_00383
A6T5G6,kpn:KPN_00385
A6T5G9,kpn:KPN_00388
A6T5H1,kpn:KPN_00390
A6T5H2,kpn:KPN_00391
A6T5H3,kpn:KPN_00392
A6T5H4,kpn:KPN_00393
A6T5H8,kpn:KPN_00397
A6T5I1,kpn:KPN_00400
A6T5I6,kpn:KPN_00405
A6T5I7,kpn:KPN_00406
A6T5J1,kpn:KPN_00410
A6T5J4,kpn:KPN_00413
A6T5J6,kpn:KPN_00415
A6T5J7,kpn:KPN_00416
A6T5K0,kpn:KPN_00419
A6T5K8,kpn:KPN_00427
