From,To
Q4WKR9,afm:AFUA_1G01520
Q4WKR7,afm:AFUA_1G01530
Q4WKR6,afm:AFUA_1G01540
Q4WKR5,afm:AFUA_1G01550
Q4WKR4,afm:AFUA_1G01560
Q4WKR3,afm:AFUA_1G01570
Q4WKR2,afm:AFUA_1G01580
Q4WKR1,afm:AFUA_1G01590
Q4WKR0,afm:AFUA_1G01600
Q4WKQ9,afm:AFUA_1G01610
Q4WKQ8,afm:AFUA_1G01620
Q4WKQ7,afm:AFUA_1G01630
Q4WKQ6,afm:AFUA_1G01640
Q4WKQ5,afm:AFUA_1G01650
Q4WKQ4,afm:AFUA_1G01660
Q4WKQ3,afm:AFUA_1G01670
Q4WKQ2,afm:AFUA_1G01680
Q4WKQ1,afm:AFUA_1G01690
Q4WKQ0,afm:AFUA_1G01700
Q4WKP9,afm:AFUA_1G01710
Q4WKP8,afm:AFUA_1G01720
Q4WKP7,afm:AFUA_1G01730
Q4WKP6,afm:AFUA_1G01740
Q4WKP5,afm:AFUA_1G01750
Q4WKP4,afm:AFUA_1G01760
Q4WKP3,afm:AFUA_1G01770
Q4WKP2,afm:AFUA_1G01780
Q4WKP1,afm:AFUA_1G01790
Q4WKP0,afm:AFUA_1G01812
Q4WKN8,afm:AFUA_1G01820
Q4WKN7,afm:AFUA_1G01830
Q4WKN5,afm:AFUA_1G01850
Q4WKN4,afm:AFUA_1G01860
Q4WKN3,afm:AFUA_1G01870
Q4WKN2,afm:AFUA_1G01890
Q4WKN0,afm:AFUA_1G01900
Q4WKM9,afm:AFUA_1G01910
Q4WKM8,afm:AFUA_1G01920
Q4WKM7,afm:AFUA_1G01930
Q4WKM6,afm:AFUA_1G01940
Q4WKM5,afm:AFUA_1G01950
Q4WKM4,afm:AFUA_1G01960
Q4WKM3,afm:AFUA_1G01970
Q4WKM2,afm:AFUA_1G01980
Q4WKM1,afm:AFUA_1G01990
Q4WKM0,afm:AFUA_1G02000
Q4WKL9,afm:AFUA_1G02010
Q4WKL8,afm:AFUA_1G02020
Q4WKL7,afm:AFUA_1G02030
Q4WKL6,afm:AFUA_1G02040
Q4WKL5,afm:AFUA_1G02050
Q4WKL4,afm:AFUA_1G02060
Q4WKL3,afm:AFUA_1G02070
Q4WKL2,afm:AFUA_1G02080
Q4WKL1,afm:AFUA_1G02090
Q4WKL0,afm:AFUA_1G02100
Q4WKK9,afm:AFUA_1G02110
Q4WKK8,afm:AFUA_1G02120
Q4WKK7,afm:AFUA_1G02130
Q4WKK6,afm:AFUA_1G02140
Q4WKK5,afm:AFUA_1G02150
Q4WKK4,afm:AFUA_1G02160
Q4WKK3,afm:AFUA_1G02170
Q4WKK2,afm:AFUA_1G02180
Q4WKK1,afm:AFUA_1G02190
Q4WKK0,afm:AFUA_1G02200
Q4WKJ9,afm:AFUA_1G02210
Q4WKJ8,afm:AFUA_1G02220
Q4WKJ7,afm:AFUA_1G02230
Q4WKJ6,afm:AFUA_1G02240
Q4WKJ5,afm:AFUA_1G02250
Q4WKJ3,afm:AFUA_1G02270
Q4WKJ2,afm:AFUA_1G02280
Q4WKJ1,afm:AFUA_1G02290
Q4WKJ0,afm:AFUA_1G02300
Q4WKI9,afm:AFUA_1G02310
Q4WKI8,afm:AFUA_1G02320
Q4WKI7,afm:AFUA_1G02330
Q4WKI6,afm:AFUA_1G02340
Q4WKI5,afm:AFUA_1G02360
Q4WKI4,afm:AFUA_1G02350
Q4WKI3,afm:AFUA_1G02370
Q4WKI2,afm:AFUA_1G02380
Q4WKI1,afm:AFUA_1G02390
Q4WKI0,afm:AFUA_1G02400
Q4WKH9,afm:AFUA_1G02410
Q4WKH8,afm:AFUA_1G02420
Q4WKH7,afm:AFUA_1G02430
Q4WKH6,afm:AFUA_1G02440
Q4WKH5,afm:AFUA_1G02450
Q4WKH4,afm:AFUA_1G02460
Q4WKH3,afm:AFUA_1G02480
Q4WKH1,afm:AFUA_1G02490
Q4WKH0,afm:AFUA_1G02500
Q4WKG9,afm:AFUA_1G02510
Q4WKG8,afm:AFUA_1G02520
Q4WKG7,afm:AFUA_1G02530
Q4WKG6,afm:AFUA_1G02540
Q4WKG5,afm:AFUA_1G02550
Q4WKG4,afm:AFUA_1G02560
Q4WKG3,afm:AFUA_1G02570
Q4WKG2,afm:AFUA_1G02580
Q4WKG1,afm:AFUA_1G02590
Q4WKG0,afm:AFUA_1G02600
Q4WKF9,afm:AFUA_1G02610
Q4WKF8,afm:AFUA_1G02620
Q4WKF7,afm:AFUA_1G02630
Q4WKF6,afm:AFUA_1G02640
Q4WKF5,afm:AFUA_1G02650
Q4WKF4,afm:AFUA_1G02660
Q4WKF3,afm:AFUA_1G02670
Q4WKF2,afm:AFUA_1G02680
Q4WKF0,afm:AFUA_1G02700
Q4WKE9,afm:AFUA_1G02710
Q4WKE8,afm:AFUA_1G02720
Q4WKE7,afm:AFUA_1G02730
Q4WKE6,afm:AFUA_1G02740
Q4WKE5,afm:AFUA_1G02750
Q4WKE4,afm:AFUA_1G02760
Q4WKE3,afm:AFUA_1G02770
Q4WKE2,afm:AFUA_1G02780
Q4WKE1,afm:AFUA_1G02800
Q4WKD9,afm:AFUA_1G02810
Q4WKD8,afm:AFUA_1G02820
Q4WKD7,afm:AFUA_1G02830
Q4WKD6,afm:AFUA_1G02840
